	MX y nm - OP		MX ynm - IP		MX y+0.2 nm - OP		MX y+0.2nm - IP		MX y+0.4nm - OP		MX y+0.4nm - IP		MX y+0.6 nm - OP		MX y+0.6nm - IP
7683.245	1234.91	10372.79	2427.177188	7682.753	436.575625	10371.76	642.7679167	7682.478	188.8898438	10371.52	434.7835156	7682.682	531.4223958	10371.46	626.9208333
7657.902	1178.416563	10322.9	2592.138125	7657.642	411.7904167	10321.55	658.8815625	7657.649	176.3649219	10321.6	418.1153906	7657.506	530.3213542	10321.68	628.984375
7632.892	1092.306563	10272.81	2426.473438	7632.781	392.3386458	10272.43	666.7471875	7632.766	139.0511719	10271.03	438.6021875	7632.691	528.1369792	10271.68	647.0286458
7608.143	1062.5975	10222.39	2320.035313	7607.899	388.6767708	10221.9	634.1138542	7607.719	142.3935938	10222.46	472.8267969	7607.756	539.3338542	10221.93	638.3802083
7583.013	1029.467813	10172.5	2221.921563	7583.022	401.1405208	10172.65	601.0911458	7582.589	156.2278125	10172.16	433.5682813	7582.605	535.2604167	10171.79	628.8661458
7558.032	1099.299375	10122.07	2362.142813	7558.003	435.39125	10122.21	709.3505208	7557.626	185.5678906	10121.66	428.9671875	7557.441	541.5734375	10120.99	637.0119792
7532.93	1199.343438	10072.88	2415.736875	7533.188	434.8345833	10072.04	675.4701042	7532.667	179.4933594	10072.44	419.2067969	7532.524	545.3901042	10072.01	644.1567708
7507.902	1239.009063	10022.64	2319.669375	7508.096	437.4639583	10021.07	666.5325	7507.858	198.7182813	10021.96	450.8170313	7507.849	543.1489583	10021.68	648.4088542
7483.099	1255.105313	9972.505	2430.141563	7483.198	435.7672917	9971.878	659.1608333	7482.867	192.2103125	9972.129	458.3759375	7482.673	527.4765625	9971.201	653.9723958
7458.235	1215.44	9921.888	2324.01125	7458.114	394.5827083	9921.678	632.2396875	7457.793	179.1272656	9920.881	468.9953906	7457.756	520.0207292	9921.489	642.8192708
7433.171	1090.959063	9872.421	2252.7875	7433.336	387.5830208	9871.972	638.208125	7432.809	150.8817969	9871.324	450.606875	7432.747	517.6653646	9871.601	638.3322917
7408.217	1082.69375	9821.644	2367	7408.318	396.8794792	9821.511	642.5496875	7408.201	165.0111719	9821.435	421.770625	7407.645	531.0078125	9820.918	656.2635417
7383.467	1042.62	9771.18	2434.55375	7383.207	402.5388542	9771.233	657.3567708	7383.201	159.8472656	9771.532	414.2532813	7382.743	525.8942708	9771.101	651.6890625
7358.254	1078.067188	9722.132	2408.882188	7358.276	392.6569792	9720.868	662.6685417	7357.812	179.3665625	9721.824	460.1358594	7357.932	552.6322917	9721.378	650.8822917
7333.143	1150.745	9672.032	2285.937188	7333.152	422.4944792	9671.289	650.1708333	7332.793	184.2326563	9670.722	428.0447656	7332.988	545.2114583	9670.656	657.31875
7308.097	1239.225	9621.972	2372.150938	7307.948	444.5097917	9621.387	666.626875	7307.765	183.1489844	9620.74	417.0122656	7307.997	534.3510417	9621.05	643.9619792
7283.115	1249.298438	9571.736	2495.002188	7283.078	419.5159375	9571.039	690.4858333	7282.793	182.7002344	9571.155	433.2160156	7282.775	531.496875	9571.295	647.30625
7258.171	1219.850625	9521.838	2315.654375	7258.059	406.5270833	9521.345	658.655625	7257.793	172.5978125	9520.907	470.7194531	7257.83	515.3118229	9521.045	644.4
7233.097	1132.411563	9471.463	2401.527188	7233.068	417.4839583	9471.047	629.705	7232.793	153.766875	9470.938	435.57125	7232.756	523.3239583	9470.683	633.3015625
7208.212	1096.552813	9422.116	2328.224375	7208.077	387.9426042	9421.706	643.441875	7207.95	164.3963281	9421.099	439.9857813	7207.756	528.8640625	9420.767	629.5817708
7183.245	1043.213438	9371.84	2397.930938	7182.946	385.8489583	9370.678	636.9386458	7182.839	166.8166406	9371.88	436.1027344	7182.571	533.5223958	9371.032	630.3161458
7158.226	1057.588125	9321.782	2323.702188	7157.762	382.1565625	9321.428	677.4030208	7157.747	164.0198438	9321.079	480.5582031	7157.562	540.8671875	9319.989	649.2307292
7133.171	1176.92875	9271.754	2484.528438	7132.791	408.4753125	9271.633	662.2222917	7132.608	185.1344531	9271.297	490.7375	7132.599	542.0526042	9270.295	648.7307292
7108.134	1228.865938	9221.5	2463.425938	7107.855	416.7964583	9220.789	650.5752083	7107.617	181.5992188	9221.259	442.3639063	7107.599	540.0921875	9221.06	648.8473958
7083.125	1265.572813	9171.115	2420.800625	7082.679	407.7630208	9170.962	680.8742708	7082.302	194.1267969	9170.518	428.9467188	7082.358	532.9859375	9170.545	649.2885417
7058.087	1246.228438	9120.491	2540.624688	7057.568	408.3307292	9120.595	671.3753125	7057.358	166.9273438	9120.435	439.1511719	7057.247	528.475	9120.56	659.6625
